Name,Pos,Team,GP,G,A,PTS,Pts/G,PPG,PPA,GWG
Vsevolod Gaidamak,C,Ottawa 67's,32,15,9,24,0.75,4,3,5
Beau Jelsma,LW,Barrie Colts,32,15,9,24,0.75,2,1,2
Ethan Burroughs,RW,Owen Sound Attack,33,13,11,24,0.73,5,3,1
Nolan DeGurse,C,Sarnia Sting,22,10,14,24,1.09,4,6,3
Brett Bressette,C,Erie Otters,32,10,14,24,0.75,3,2,0
Cedrick Guindon,C,Owen Sound Attack,33,10,14,24,0.73,0,3,3
Dean Loukus,RW,Saginaw Spirit,33,10,14,24,0.73,2,1,0
Servac Petrovsky,C,Owen Sound Attack,33,10,14,24,0.73,4,7,3
Stepan Machacek,LW,Owen Sound Attack,33,9,15,24,0.73,4,4,0
Quentin Musty,LW,Sudbury Wolves,33,9,15,24,0.73,1,5,3
Gavin White,D,Hamilton Bulldogs,31,4,20,24,0.77,2,3,3
Kirill Kudryavtsev,D,Soo Greyhounds,37,3,21,24,0.65,0,5,0
Aidan Prueter,C,Mississauga Steelheads,36,11,12,23,0.64,4,1,3
Bryce McConnell-Barker,C,Soo Greyhounds,37,11,12,23,0.62,3,3,2
Anthony Tabak,LW,Barrie Colts,28,8,15,23,0.82,3,7,1
Samuel Mayer,D,Peterborough Petes,35,8,15,23,0.66,4,5,0
Brenden Sirizzotti (total),RW,Niagara IceDogs,37,8,15,23,0.62,3,5,0
Daniil Chayka,D,Guelph Storm,32,7,16,23,0.72,2,10,2
Dalton Duhart,LW,Saginaw Spirit,35,7,16,23,0.66,2,4,0
Jake Karabela,C,Guelph Storm,32,5,18,23,0.72,0,4,1
Matthew Papais,LW,Guelph Storm,30,13,9,22,0.73,1,3,0
Nick Lardis,RW,Peterborough Petes,32,11,11,22,0.69,1,4,0
Lucas Peric,D,Kingston Frontenacs,28,9,13,22,0.79,3,7,0
Zacharie Giroux,C,Flint Firebirds,35,9,13,22,0.63,2,5,1
